route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
69952,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
69735,1,10,VAN HORNE,,3,,FF0000,FFFFFF
69736,1,100,FLEMINGDON PARK,,3,,FF0000,FFFFFF
69737,1,101,DOWNSVIEW PARK,,3,,FF0000,FFFFFF
69738,1,102,MARKHAM RD.,,3,,FF0000,FFFFFF
69739,1,104,FAYWOOD,,3,,FF0000,FFFFFF
69740,1,105,DUFFERIN NORTH,,3,,FF0000,FFFFFF
69741,1,106,SENTINEL,,3,,FF0000,FFFFFF
69742,1,107,YORK UNIVERSITY HEIGHTS,,3,,FF0000,FFFFFF
69743,1,108,DRIFTWOOD,,3,,FF0000,FFFFFF
69744,1,109,RANEE,,3,,FF0000,FFFFFF
69745,1,11,BAYVIEW,,3,,FF0000,FFFFFF
69746,1,110,ISLINGTON SOUTH,,3,,FF0000,FFFFFF
69747,1,111,EAST MALL,,3,,FF0000,FFFFFF
69748,1,112,WEST MALL,,3,,FF0000,FFFFFF
69749,1,113,DANFORTH ROAD,,3,,FF0000,FFFFFF
69750,1,115,SILVER HILLS,,3,,FF0000,FFFFFF
69751,1,116,MORNINGSIDE,,3,,FF0000,FFFFFF
69752,1,118,THISTLE DOWN,,3,,FF0000,FFFFFF
69753,1,119,TORBARRIE,,3,,FF0000,FFFFFF
69754,1,12,KINGSTON ROAD,,3,,FF0000,FFFFFF
69755,1,120,CALVINGTON,,3,,FF0000,FFFFFF
69756,1,121,ESPLANADE-RIVER,,3,,FF0000,FFFFFF
69757,1,122,GRAYDON HALL,,3,,FF0000,FFFFFF
69758,1,123,SHERWAY,,3,,FF0000,FFFFFF
69759,1,124,SUNNYBROOK,,3,,FF0000,FFFFFF
69760,1,125,DREWRY,,3,,FF0000,FFFFFF
69761,1,126,CHRISTIE,,3,,FF0000,FFFFFF
69762,1,127,DAVENPORT,,3,,FF0000,FFFFFF
69763,1,128,STANLEY GREENE,,3,,FF0000,FFFFFF
69764,1,129,MCCOWAN NORTH,,3,,FF0000,FFFFFF
69765,1,13,AVENUE ROAD,,3,,FF0000,FFFFFF
69766,1,130,MIDDLEFIELD,,3,,FF0000,FFFFFF
69767,1,131,NUGGET,,3,,FF0000,FFFFFF
69768,1,132,MILNER,,3,,FF0000,FFFFFF
69769,1,133,NEILSON,,3,,FF0000,FFFFFF
69770,1,134,PROGRESS,,3,,FF0000,FFFFFF
69771,1,135,GERRARD,,3,,FF0000,FFFFFF
69772,1,14,GLENCAIRN,,3,,FF0000,FFFFFF
69773,1,15,EVANS,,3,,FF0000,FFFFFF
69774,1,16,McCOWAN,,3,,FF0000,FFFFFF
69775,1,160,BATHURST NORTH,,3,,FF0000,FFFFFF
69776,1,161,ROGERS ROAD,,3,,FF0000,FFFFFF
69777,1,162,LAWRENCE-DONWAY,,3,,FF0000,FFFFFF
69778,1,165,WESTON RD. NORTH,,3,,FF0000,FFFFFF
69779,1,167,PHARMACY NORTH,,3,,FF0000,FFFFFF
69780,1,168,SYMINGTON,,3,,FF0000,FFFFFF
69781,1,169,HUNTINGWOOD,,3,,FF0000,FFFFFF
69782,1,17,BIRCHMOUNT,,3,,FF0000,FFFFFF
69783,1,171,MOUNT DENNIS,,3,,FF0000,FFFFFF
69784,1,176,MIMICO GO,,3,,FF0000,FFFFFF
69785,1,184,ANCASTER PARK,,3,,FF0000,FFFFFF
69786,1,189,STOCKYARDS,,3,,FF0000,FFFFFF
69787,1,19,BAY,,3,,FF0000,FFFFFF
69953,1,2,LINE 2 (BLOOR - DANFORTH),,1,,008000,FFFFFF
69788,1,20,CLIFFSIDE,,3,,FF0000,FFFFFF
69789,1,200,TORONTO ZOO,,3,,FF80C0,FFFFFF
69790,1,201,BLUFFER'S PARK,,3,,FF80C0,FFFFFF
69791,1,202,CHERRY BEACH,,3,,FF80C0,FFFFFF
69792,1,203,HIGH PARK,,3,,FF80C0,FFFFFF
69793,1,21,BRIMLEY,,3,,FF0000,FFFFFF
69794,1,22,COXWELL,,3,,FF0000,FFFFFF
69795,1,23,DAWES,,3,,FF0000,FFFFFF
69796,1,24,VICTORIA PARK,,3,,FF0000,FFFFFF
69797,1,25,DON MILLS,,3,,FF0000,FFFFFF
69798,1,26,DUPONT,,3,,FF0000,FFFFFF
69799,1,28,BAYVIEW SOUTH,,3,,FF0000,FFFFFF
69800,1,29,DUFFERIN,,3,,FF0000,FFFFFF
69801,1,30,HIGH PARK NORTH,,3,,FF0000,FFFFFF
69802,1,300,BLOOR-DANFORTH NIGHT BUS,,3,,0000FF,FFFFFF
69803,1,301,QUEEN,,0,,0000FF,FFFFFF
69804,1,302,KINGSTON RD-McCOWAN NIGHT BUS,,3,,0000FF,FFFFFF
69805,1,304,KING,,0,,0000FF,FFFFFF
69806,1,306,CARLTON,,0,,0000FF,FFFFFF
69807,1,307,BATHURST NIGHT BUS,,3,,0000FF,FFFFFF
69808,1,31,GREENWOOD,,3,,FF0000,FFFFFF
69809,1,310,SPADINA,,0,,0000FF,FFFFFF
69810,1,312,ST.CLAIR-JUNCTION NIGHT BUS,,3,,0000FF,FFFFFF
69811,1,315,EVANS - BROWN'S LINE NIGHT BUS,,3,,0000FF,FFFFFF
69812,1,32,EGLINTON WEST,,3,,FF0000,FFFFFF
69813,1,320,YONGE NIGHT BUS,,3,,0000FF,FFFFFF
69814,1,322,COXWELL NIGHT BUS,,3,,0000FF,FFFFFF
69815,1,324,VICTORIA PARK NIGHT BUS,,3,,0000FF,FFFFFF
69816,1,325,DON MILLS NIGHT BUS,,3,,0000FF,FFFFFF
69817,1,329,DUFFERIN NIGHT BUS,,3,,0000FF,FFFFFF
69818,1,33,FOREST HILL,,3,,FF0000,FFFFFF
69819,1,332,EGLINTON WEST NIGHT BUS,,3,,0000FF,FFFFFF
69820,1,334,EGLINTON EAST NIGHT BUS,,3,,0000FF,FFFFFF
69821,1,335,JANE NIGHT BUS,,3,,0000FF,FFFFFF
69822,1,336,FINCH WEST NIGHT BUS,,3,,0000FF,FFFFFF
69823,1,337,ISLINGTON NIGHT BUS,,3,,0000FF,FFFFFF
69824,1,339,FINCH EAST NIGHT BUS,,3,,0000FF,FFFFFF
69825,1,34,EGLINTON EAST,,3,,FF0000,FFFFFF
69826,1,341,KEELE NIGHT BUS,,3,,0000FF,FFFFFF
69827,1,343,KENNEDY NIGHT BUS,,3,,0000FF,FFFFFF
69828,1,35,JANE,,3,,FF0000,FFFFFF
69829,1,352,LAWRENCE WEST NIGHT BUS,,3,,0000FF,FFFFFF
69830,1,353,STEELES NIGHT BUS,,3,,0000FF,FFFFFF
69831,1,354,LAWRENCE EAST NIGHT BUS,,3,,0000FF,FFFFFF
69832,1,36,FINCH WEST,,3,,FF0000,FFFFFF
69833,1,363,OSSINGTON NIGHT BUS,,3,,0000FF,FFFFFF
69834,1,365,PARLIAMENT NIGHT BUS,,3,,0000FF,FFFFFF
69835,1,37,ISLINGTON,,3,,FF0000,FFFFFF
69836,1,38,HIGHLAND CREEK,,3,,FF0000,FFFFFF
69837,1,384,SHEPPARD WEST NIGHT BUS,,3,,0000FF,FFFFFF
69838,1,385,SHEPPARD EAST NIGHT BUS,,3,,0000FF,FFFFFF
69839,1,39,FINCH EAST,,3,,FF0000,FFFFFF
69840,1,395,YORK MILLS NIGHT BUS,,3,,0000FF,FFFFFF
69841,1,396,WILSON NIGHT BUS,,3,,0000FF,FFFFFF
69954,1,4,LINE 4 (SHEPPARD),,1,,B300B3,FFFFFF
69842,1,40,JUNCTION-DUNDAS WEST,,3,,FF0000,FFFFFF
69843,1,400,LAWRENCE MANOR,,3,,808080,FFFFFF
69844,1,402,PARKDALE,,3,,808080,FFFFFF
69845,1,403,DON MILLS SOUTH,,3,,808080,FFFFFF
69846,1,404,EAST YORK,,3,,808080,FFFFFF
69847,1,405,ETOBICOKE,,3,,808080,FFFFFF
69848,1,41,KEELE,,3,,FF0000,FFFFFF
69849,1,42,CUMMER,,3,,FF0000,FFFFFF
69850,1,43,KENNEDY,,3,,FF0000,FFFFFF
69851,1,44,KIPLING SOUTH,,3,,FF0000,FFFFFF
69852,1,45,KIPLING,,3,,FF0000,FFFFFF
69853,1,46,MARTIN GROVE,,3,,FF0000,FFFFFF
69854,1,47,LANSDOWNE,,3,,FF0000,FFFFFF
69855,1,48,RATHBURN,,3,,FF0000,FFFFFF
69856,1,49,BLOOR WEST,,3,,FF0000,FFFFFF
69857,1,50,BURNHAMTHORPE,,3,,FF0000,FFFFFF
69858,1,501,QUEEN,,0,,FF0000,FFFFFF
69859,1,503,KINGSTON RD,,0,,FF0000,FFFFFF
69860,1,504,KING,,0,,FF0000,FFFFFF
69861,1,505,DUNDAS,,0,,FF0000,FFFFFF
69862,1,506,CARLTON,,0,,FF0000,FFFFFF
69864,1,508,LAKE SHORE,,0,,FF0000,FFFFFF
69865,1,509,HARBOURFRONT,,0,,FF0000,FFFFFF
69866,1,51,LESLIE,,3,,FF0000,FFFFFF
69867,1,510,SPADINA,,0,,FF0000,FFFFFF
69868,1,511,BATHURST,,0,,FF0000,FFFFFF
69869,1,512,ST. CLAIR,,0,,FF0000,FFFFFF
69870,1,513,QUEEN EAST,,3,,FF0000,FFFFFF
69871,1,52,LAWRENCE WEST,,3,,FF0000,FFFFFF
69872,1,53,STEELES EAST,,3,,FF0000,FFFFFF
69873,1,54,LAWRENCE EAST,,3,,FF0000,FFFFFF
69874,1,55,WARREN PARK,,3,,FF0000,FFFFFF
69875,1,56,LEASIDE,,3,,FF0000,FFFFFF
69876,1,57,MIDLAND,,3,,FF0000,FFFFFF
69877,1,59,MAPLE LEAF,,3,,FF0000,FFFFFF
69878,1,60,STEELES WEST,,3,,FF0000,FFFFFF
69880,1,61,AVENUE ROAD NORTH,,3,,FF0000,FFFFFF
69881,1,62,MORTIMER,,3,,FF0000,FFFFFF
69882,1,63,OSSINGTON,,3,,FF0000,FFFFFF
69883,1,64,MAIN,,3,,FF0000,FFFFFF
69884,1,65,PARLIAMENT,,3,,FF0000,FFFFFF
69885,1,66,PRINCE EDWARD,,3,,FF0000,FFFFFF
69886,1,67,PHARMACY,,3,,FF0000,FFFFFF
69887,1,68,WARDEN,,3,,FF0000,FFFFFF
69888,1,69,WARDEN SOUTH,,3,,FF0000,FFFFFF
69889,1,7,BATHURST,,3,,FF0000,FFFFFF
69890,1,70,O'CONNOR,,3,,FF0000,FFFFFF
69893,1,71,RUNNYMEDE,,3,,FF0000,FFFFFF
69894,1,72,PAPE,,3,,FF0000,FFFFFF
69895,1,73,ROYAL YORK,,3,,FF0000,FFFFFF
69896,1,74,MOUNT PLEASANT,,3,,FF0000,FFFFFF
69897,1,75,SHERBOURNE,,3,,FF0000,FFFFFF
69898,1,76,ROYAL YORK SOUTH,,3,,FF0000,FFFFFF
69899,1,77,SWANSEA,,3,,FF0000,FFFFFF
69900,1,78,ST. ANDREWS,,3,,FF0000,FFFFFF
69901,1,79,SCARLETT RD.,,3,,FF0000,FFFFFF
69902,1,8,BROADVIEW,,3,,FF0000,FFFFFF
69903,1,80,QUEENSWAY,,3,,FF0000,FFFFFF
69904,1,81,THORNCLIFFE PARK,,3,,FF0000,FFFFFF
69905,1,82,ROSEDALE,,3,,FF0000,FFFFFF
69906,1,83,JONES,,3,,FF0000,FFFFFF
69907,1,84,SHEPPARD WEST,,3,,FF0000,FFFFFF
69908,1,85,SHEPPARD EAST,,3,,FF0000,FFFFFF
69909,1,86,SCARBOROUGH,,3,,FF0000,FFFFFF
69910,1,87,COSBURN,,3,,FF0000,FFFFFF
69911,1,88,SOUTH LEASIDE,,3,,FF0000,FFFFFF
69912,1,89,WESTON,,3,,FF0000,FFFFFF
69913,1,9,BELLAMY,,3,,FF0000,FFFFFF
69914,1,90,VAUGHAN,,3,,FF0000,FFFFFF
69915,1,900,AIRPORT EXPRESS,,3,,008000,FFFFFF
69916,1,902,MARKHAM RD EXPRESS,,3,,008000,FFFFFF
69917,1,903,KENNEDY-SCARBOROUGH CENTRE EXPRESS,,3,,008000,FFFFFF
69918,1,905,EGLINTON EAST EXPRESS,,3,,008000,FFFFFF
69919,1,91,WOODBINE,,3,,FF0000,FFFFFF
69920,1,913,PROGRESS EXPRESS,,3,,008000,FFFFFF
69921,1,92,WOODBINE SOUTH,,3,,FF0000,FFFFFF
69922,1,924,VICTORIA PARK EXPRESS,,3,,008000,FFFFFF
69923,1,925,DON MILLS EXPRESS,,3,,008000,FFFFFF
69924,1,927,HIGHWAY 27 EXPRESS,,3,,008000,FFFFFF
69925,1,929,DUFFERIN EXPRESS,,3,,008000,FFFFFF
69926,1,93,PARKVIEW HILLS,,3,,FF0000,FFFFFF
69927,1,935,JANE EXPRESS,,3,,008000,FFFFFF
69928,1,937,ISLINGTON EXPRESS,,3,,008000,FFFFFF
69929,1,938,HIGHLAND CREEK EXPRESS,,3,,008000,FFFFFF
69930,1,939,FINCH EXPRESS,,3,,008000,FFFFFF
69931,1,94,WELLESLEY,,3,,FF0000,FFFFFF
69932,1,941,KEELE EXPRESS,,3,,008000,FFFFFF
69933,1,943,KENNEDY EXPRESS,,3,,008000,FFFFFF
69934,1,944,KIPLING SOUTH EXPRESS,,3,,008000,FFFFFF
69935,1,945,KIPLING EXPRESS,,3,,008000,FFFFFF
69936,1,95,YORK MILLS,,3,,FF0000,FFFFFF
69937,1,952,LAWRENCE WEST EXPRESS,,3,,008000,FFFFFF
69938,1,953,STEELES EAST EXPRESS,,3,,008000,FFFFFF
69939,1,954,LAWRENCE EAST EXPRESS,,3,,008000,FFFFFF
69940,1,96,WILSON,,3,,FF0000,FFFFFF
69941,1,960,STEELES WEST EXPRESS,,3,,008000,FFFFFF
69942,1,968,WARDEN EXPRESS,,3,,008000,FFFFFF
69943,1,97,YONGE,,3,,FF0000,FFFFFF
69944,1,98,WILLOWDALE-SENLAC,,3,,FF0000,FFFFFF
69945,1,984,SHEPPARD WEST EXPRESS,,3,,008000,FFFFFF
69946,1,985,SHEPPARD EAST EXPRESS,,3,,008000,FFFFFF
69947,1,986,SCARBOROUGH EXPRESS,,3,,008000,FFFFFF
69948,1,989,WESTON EXPRESS,,3,,008000,FFFFFF
69949,1,99,ARROW ROAD,,3,,FF0000,FFFFFF
69950,1,995,YORK MILLS EXPRESS,,3,,008000,FFFFFF
69951,1,996,WILSON EXPRESS,,3,,008000,FFFFFF
